phon,gen
ʒ4gl,f
dʒØnkœʁ,m
ʒ4t,f
ʒypkylɔt,f
ʒypkylɔt,m
ʒypɛt,f
ʒypje,m
ʒyʁ1s2,m
ʒyʁasj3,m
ʒyʁasik,m
ʒyʁe,m
ʒyʁe,f
ʒyʁidiksj2,f
ʒyʁispʁyd1s,f
ʒyz1,m
ʒyskjam,f
ʒystOkɔʁ,m
ʒystəmiljø,m
ʒyst,m
ʒystɛs,f
ʒystisje,m
ʒystisjɛʁ,f
ʒyvEnilite,f
ʒykstapOzisj2,f
kawe,m
kabuki,m
kadiʃ,m
kafiʁ,m
kajzœʁ,m
kalaazaʁ,m
kalaknikɔv,f
kali,m
kaljEmi,f
kalpa,m
kamala,m
kami,m
kan,m
k1djaʁ,m
k1ʒi,m
k1tizm,m
kaOl3,m
kaOʁi,m
kapɔk,m
kapOkje,m
kapOzi,m
kaput,m
kapa,m
kaʁaOke,m
kaʁate,m
kaʁite,m
kaʁt,m
kaʁtiŋ,m
kastʁo,m
kata,m
katal,m
kat1gɛ,m
katʃina,m
katiba,f
kava,m
kajak,m
kazak,m
kEbab,m
kebuʁ,m
kipsɛk,m
kEfje,m
kEfiʁ,m
kEʁEtsu,m
kEkʃoz,f
kElvin,m
kɛndo,m
kEpi,m
kEʁabo,m
kEʁatOplasti,f
kEʁatoz,f
kɛʁmɛs,f
kEʁOzɛn,m
kEʁi,f
kɛt,m
kɛtʃ,m
kEtʃœp,m
kEvlaʁ,m
ʁamsin,m
kat,m
kEdiv,m
kibuts,m
kik,m
kike,m
kjɛf,m
kiʁkəgaaʁdjɛn,f
kiki,m
kilbys,m
kilim,m
kilOgʁam,m
kilOɛʁts,m
kilOmEtʁaʒ,m
kilOmɛtʁ,m
kilOmEtʁœʁ,m
kilOtɔn,m
kilOwatœʁ,m
kilt,m
kimOno,m
kinaz,f
kinEskɔp,m
kinEzik,f
kinEzitEʁapi,f
kinEstEzi,f
kiŋʃaʁl,m
kinɔʁ,m
kino,m
kjɔsk,m
kip,m
kipœʁ,m
kiʁgiz,m
kiʁʃ,m
kitʃənɛt,f
kiva,f
kiwi,m
klinɛks,m
klistʁ2,m
knikœʁs,m
knikœʁbOkœʁ,m
knOkawt,m
knut,m
kOala,m
kObɔld,m
kOdak,m
kOdjak,m
kOlatje,m
kɔlkOzj3,m
kɔlkozjɛn,f
kOm3tɛʁn,m
kOm1d1ntuʁ,f
kɔmsOmɔl,m
kOpɛk,m
koʁE,f
koʁɛ,f
kOʁig1,m
kOsOvaʁ,m
kɔt,m
kuglɔf,m
kulak,m
kuʁos,m
kʁal,m
kʁaft,m
kʁakɛn,m
kʁEml3,m
kʁɔjtsœʁ,m
kʁikʃpil,m
kʁil,m
kʁis,m
kʁumiʁ,m
kʁipt2,m
ksaʁ,m
kyla,f
kumkwat,m
kyʁsal,m
kyʁy,m
kvas,m
kiʁijeElEisɔn,m
kiʁjɛl,f
kist,m
ɛldOpa,f
l,m
lab,m
labɛl,m
labœʁ,m
labo,m
labOʁ1tin,f
labuʁ,m
labuʁaʒ,m
labuʁœʁ,m
labʁadɔʁ,m
labʁ,m
labʁi,m
labiʁ3t,m
lak,m
lasaʒ,m
lakanj3,m
lasEdEmOnj3,m
lasEʁasj2,f
laʃaʒ,m
laʃe,m
laʃəte,f
laʃœʁ,m
laʃøz,f
lasi,m
lakOnizm,m
lakʁimakʁisti,m
laktɛʁ,m
laktat,m
laktasj2,f
lakyn,f
lad,m
ladino,m
ladʁəʁi,f
lEdi,f
lag1,m
lajɔl,m
lɛ,m
lɛʃ,f
lɛd,f
lEdəʁ2,m
lEdœʁ,f
lɛ,f
lEnaʒ,m
lɛn,f
lEnœʁ,m
lEnøz,f
lEnje,m
lEnjɛʁ,f
lɛslamwa,f
lEsepuʁk2t,m
lɛs,f
lEse,m
lEse,f
lEsEale,m
lEsEfɛʁ,m
lEsefɛʁ,m
lEsEpase,m
lEtaʒ,m
lEt1s,f
lɛt,f
lEtəʁi,f
lEtje,m
lEtjɛʁ,f
lEt2,m
lEty,f
lajys,m
lɛz,f
lamaizm,m
lam1t3,m
lamaʁtinjɛn,f
l1bada,f
l1bo,m
l1bɛl,m
l1bi,m
l1bik,m
l1b3,m
l1bʁək3,m
l1bʁi,m
l1bʁisaʒ,m
l1bʁysk,f
l1bswul,m
lam,f
lamde,f
lamədy,m
lamɛl,f
lamElibʁ1ʃ,m
lami,f
laminaʒ,m
laminɛʁ,f
laminEktOmi,f
l1padɛʁ,m
l1paʁo,m
l1pa,m
l1pfaʁ,f
l1pe,f
l1pj2,m
l1pist,m
l1pistəʁi,f
l1p2,m
l1pʁwa,f
l1piʁ,m
l1s1ʒ3,m
l1səflam,m
l1sflam,m
l1sfyze,m
l1sgʁənad,m
l1sʁOkɛt,m
l1sətɔʁpij,m
l1stɔʁpij,m
l1s,f
l1se,f
l1səlo,m
l1se,m
l1səʁ2,m
l1sɛt,f
l1søz,f
l1sin1s,f
l1s2,m
l1d,m
l1dɛz,f
l1do,m
l1dOlɛ,m
l1d,f
l1dɛʁno,m
l1dje,m
l1diŋ,m
l1dlɔʁd,m
l1dstuʁm,m
l1dvɛʁ,f
l1g,f
l1gədOsj3,m
l1gœʁ,f
lanjɛʁ,f
lanOlin,f
l1skin,f
l1tɛʁnt1pɛt,f
l1tɛʁn,f
l1tɛʁnje,m
l1tan,m
lao,m
laOsj3,m
lap,m
lapalisad,f
lapaʁOskOpi,f
lapaʁOtOmi,f
lapəm1,m
lapəʁo,m
lapidɛʁ,m
lapidasj2,f
lapidifikasj2,f
lap3,m
lapin,f
lapinjɛʁ,f
lapis,m
lap2,m
lapsys,m
lakɛ,m
laʁbinəʁi,f
laʁs3,m
laʁdaʒ,m
laʁdEus,m
laʁdy,m
laʁgaʒ,m
laʁʒ,m
laʁʒɛs,f
laʁʒœʁ,f
laʁgEto,m
laʁg,m
laʁgœʁ,m
laʁigo,m
laʁm,f
laʁmiʃɛt,f
laʁmje,m
laʁmwam1,m
laʁ2,m
laʁv,f
laʁvisid,m
laʁ3gOskɔp,m
laʁ3gOskOpi,f
lazaɲ,f
lasivite,f
lazɛʁ,m
lasityd,f
laso,m
lazyʁ,f
lat1s,f
latEʁalite,f
latEʁit,f
latɛks,m
latiklav,m
lat3,m
latinizm,m
latinite,f
latinOamEʁik3,m
latinOamEʁik3,f
latityd,f
lats,m
lati,m
latvj3,m
lod,f
lOʁEa,m
lOʁjesəʁiz,m
lOʁjeʁoz,m
lOʁje,m
loz,f
lav,m
lavaʒ,m
lav1d,f
lav1d3,m
lavas,f
lavOto,m
lavglas,m
lavl3ʒ,m
lavm3,m
lavp2,m
lavvEsɛl,m
lav,f
lavəm1,m
lavœʁ,m
lavøz,f
lavi,m
lavwaʁ,m
lavyʁ,f
laksatif,m
laksite,f
lEjɛt,f
lEj2,m
lazaʁɛ,m
lazaʁo,m
laz3g,m
le,m
lidœʁ,m
liziŋ,m
ləb1,m
lEʃaʒ,m
lɛʃbɔt,m
lɛʃky,m
lɛʃvitʁin,m
lɛʃəfʁit,f
lɛʃəʁi,f
lEʃøʁ,m
lEʃøz,f
lEsitin,f
ləs2,f
lEktœʁ,m
lEktOʁa,m
lEktʁis,f
lEktyʁ,f
lEgalizasj2,f
lEgalite,f
lEga,m
lEgasj2,f
lEʒ1d,f
lEʒɛʁəte,f
lEgɔʁn,f
lEʒj2,f
lEʒjOnEloz,f
lEʒjOnɛʁ,m
lEʒislatœʁ,m
lEʒislatif,m
lEʒislasj2,f
lEʒislativ,f
lEʒislatyʁ,f
lEʒitimasj2,f
lEʒitimite,f
lEgo,m
lEgym,m
lEgymje,m
lEgyminøz,f
lɛʃmanjoz,f
lɛk,m
lɛm,m
lEmiŋ,m
lEmyʁ,m
lEmyʁj3,m
l1dəm3,m
lEnifikasj2,f
lEninizm,m
l1t,f
l1tœʁ,f
l1tikyl,f
l1tij,f
lEOpaʁ,m
lEpidOptɛʁ,m
lEpjɔt,f
lEp2tik,m
lɛpʁ,f
lEpʁø,m
lEpʁOlOʒi,f
lEpʁOzəʁi,f
lEpt2,m
lEʁo,m
lEsbjanizm,m
lEzbj3,m
lɛzmaʒEste,f
lEzin,f
lEzinəʁi,f
lEzj2,f
lEsivaʒ,m
lEsiv,f
lɛst,m
lEtalite,f
lEtʃi,m
lEtaʁʒi,f
lEtɔn,f
lEtʁaʒ,m
lɛtʁəkle,f
lɛtʁ,f
lEtʁe,m
lEtʁœʁ,m
lɛtʁin,f
lØsEmi,f
lØkOsit,m
lØkOsitoz,f
lØkOpEni,f
lØkOplazi,f
lØkoz,f
lØkOtOmi,f
lœʁ,m
lɛv,m
ləv1,m
ləv1tin,f
ləve,m
ləve,f
ləvœʁ,m
ləvøz,f
lEvjat1,m
ləvje,m
lEvitasj2,f
lɛvʁ,f
ləvʁo,m
ləvʁɛt,f
lEvʁije,m
lEksi,f
lEksik,m
lEzaʁ,m
lEzaʁd,f
li,m
ljaʒ,m
ljEz2,f
ljaʁ,m
libanɛz,f
libasj2,f
libEksjo,m
libEle,m
libɛl,m
libElyl,f
libɛʁ,m
libEʁa,m
libEʁal,m
libEʁalizasj2,f
libEʁalizm,m
libEʁalite,f
libEʁatœʁ,m
libEʁasj2,f
libEʁatʁis,f
libEʁo,m
libɛʁt3,m
libɛʁtin,f
libido,f
libʁEʁipapEtəʁi,f
libʁaʁbitʁ,m
libʁEʃ1ʒ,m
libʁəp1sœʁ,m
libʁəp1søz,f
libʁEto,m
libj3,m
lis,f
lisEite,f
lis1s,f
lis1sje,m
liʃ,m
likɛn,m
lisje,m
likɔl,m
likɔʁn,f
lido,m
lidOkain,f
li,f
lid,m
ljɛʒ,m
lj3,m
ljɛs,f
ljødi,m
ljø,m
ljø,f
ljœʁ,m
ljøz,f
ljØtən1kOlOnɛl,m
ljØtən1pilɔt,m
ljØtən1,m
ljɛvʁ,m
lift,m
liftje,m
liftjɛʁ,f
liftiŋ,m
ligatyʁ,f
liɲaʁ,m
liɲ,f
ligo,m
ligOtaʒ,m
lig,f
ligœʁ,m
lila,m
liljase,f
liljɔm,m
lilwa,m
lilwaz,f
limas,f
limaj,f
lim1,m
liməʁik,m
limɛt,f
limje,m
limit,f
limitœʁ,m
limOʒaʒ,m
lim2,m
limOnad,f
limOnadje,m
limOnɛʁ,m
limOnje,m
limOnjɛʁ,f
limOzɛl,f
limuzin,f
l3pidite,f
l3,m
linɛʁ,f
l3dɔʁ,m
lin,f
linEɛʁ,m
linEam1,m
linga,m
lingala,m
lingam,m
l3ʒ,m
l3ʒəʁi,f
l3go,m
l3gOtjɛʁ,f
linim1,m
linOlEɔm,m
lin2,m
linɔt,f
linOtip,f
l3to,m
lintœʁ,m
lj2,m
lipaz,f
lipid,m
lipjOdɔl,m
lipom,m
lipOzom,m
lipOsysj2,f
lipOtimi,f
lip,f
lipe,f
likEfaksj2,f
likɛt,f
likœʁ,f
likid1baʁ,m
likidatœʁ,m
likidasj2,f
likid,m
likɔʁ,m
liʁ,f
liʁɛt,f
lis,m
liz1,m
lizEʁe,m
lizəʁe,m
lizəʁ2,m
lizøz,f
lizibilite,f
lizje,m
lisaʒ,m
lise,m
lisœʁ,m
list,f
listɛl,m
listɛʁja,f
listiŋ,m
list2,m
libato,m
lidiv1,m
litani,f
lito,m
lite,f
litəʁi,f
litjaz,f
litjɔm,m
lito,f
litOgʁafi,f
litOsfɛʁ,f
litOtʁipsi,f
litOtʁitœʁ,m
litɥanj3,m
litjɛʁ,f
litɔʁn,f
litɔt,f
litʁ2,m
litEʁalite,f
litEʁatœʁ,m
litEʁatyʁ,f
litOʁal,m
lityʁʒi,f
livaʁo,m
livɛʃ,f
livOnjɛn,f
livʁEz2,f
livʁəkasɛt,m
livʁəklœb,m
livʁɛ,m
livʁœʁ,m
livʁøz,f
lanos,m
lɔjd,m
lOdœʁ,m
lObi,m
lObiiŋ,m
lObEktOmi,f
lObOtOmi,f
lOkal,m
lOkalizasj2,f
lOkalite,f
lOkatœʁ,m
lOkasj2,f
lOkatyʁ,f
lɔk,m
lOkawt,m
lOko,m
lOkOmObil,f
lOkOmOsj2,f
lOkOmOtiv,f
lOkOmOtʁis,f
lOkys,m
lOkyst,f
lOkytœʁ,m
lOkysj2,f
lOkytʁis,f
lɔf,m
lɔft,m
lOgaʁitm,m
lOʒɛt,f
lOʒœʁ,m
lOʒøz,f
lɔdʒja,f
lOʒisjɛl,m
lOʒisj3,m
lOʒisjɛn,f
lOgin,m
lOʒik,f
lOʒi,m
lOʒistisj3,m
lOʒistik,f
lOgo,m
lOgogʁif,m
lOgOmaʃi,f
lOgOʁe,f
lOgos,m
lOgOsfɛʁ,f
lOgOtɛt,m
lwa,f
lw3t3,m
lwaʁ,m
lwaziʁ,m
lOkum,m
lOlita,f
lOlo,m
l2balʒi,f
l2baʁd,f
l2baʁdo,m
#DEF#,f
l2bOsta,m
l2bʁik,m
l2p,m
l2dʁɛs,m
l2kuʁje,m
l2mEtʁaʒ,m
l2,m
l2gan,m
l2ganimite,f
l2ʒəʁ2,m
l2ʒEvite,f
l2ʒikɔʁn,m
l2gʁin,f
l2gvy,f
l2g,f
l2gɛ,m
l2gœʁ,f
luk,m
lupiŋ,m
luzœʁ,m
lOpaj,f
lɔp,f
lOpɛt,f
lOp3,m
lOkasite,f
lɔk,f
lOkɛ,m
lɔkəto,m
lOʁ1,m
lɔʁdmɛʁ,m
lɔʁdoz,f
lOʁɛt,f
lɔʁɲɛt,f
lOʁi,m
lOʁjo,m
lOʁis,m
lOʁ3,m
lOʁɛn,f
lOtəʁi,f
lOtje,m
lOsj2,f
lOtisəm1,m
lOto,m
lɔt,f
lOtys,m
lwaʒ,m
lw1ʒœʁ,m
lubaʁ,m
lubaʁd,f
luʃ,f
lukEbɛm,m
luʃEbɛm,m
luʃəm1,m
luʃɛ,m
luʃøz,f
luʃ2,m
lwe,f
lwœʁ,m
lwøz,f
lufja,m
lufɔkəʁi,f
lwi,m
lwizbɔn,f
luizjanɛ,m
lukum,m
lulut,f
lusɛʁvje,m
lu,m
lupe,m
lupja,m
lupjo,m
lupjɔt,f
luʁ,m
luʁdo,m
luʁd,f
luʁdəʁi,f
luʁdœʁ,f
lut,f
luv,f
luvəto,m
luvətje,m
luvwam1,m
lwajOte,f
lwaje,m
ɛlɛsde,m
lybi,f
lybʁifikasj2,f
lys,f
lysɛ,m
lysili,f
lysit,f
lykʁ,m
lydit,m
lydj2,m
lɥœʁ,f
lufa,m
lyʒ,f
lyʒe,m
lɥiz1,m
lyly,m
lymɛn,m
lymiɲ2,m
lyminEs1s,f
lyminOzite,f
l3p,m
lynɛʁ,f
lynEz2,f
lœnʃ,m
lœntʃ,m
l4di,m
lyn,f
lynətje,m
lynɛtəʁi,f
lynyl,f
lypanaʁ,m
lyp3,m
lyʁ,m
lyʁɛks,m
lystʁaʒ,m
lystʁ,m
lystʁœʁ,m
lystʁøz,f
lystykʁy,m
ly,m
lytEʁanizm,m
lytEʁjanizm,m
lytəʁi,f
lytEʁj3,m
lytEʁjɛn,f
lyt3,m
lytʁ3,m
lytœʁ,m
lytøz,f
lyksasj2,f
lyks1buʁʒwa,m
lyksyʁj1s,f
lyzɛʁn,f
lyzɛʁnjɛʁ,f
lik1tʁɔp,m
lik1tʁOpi,f
lika2,m
lisE3,m
lisEɛn,f
litʃi,m
liknis,m
lisj3,m
lisjɛn,f
likOpɛʁd2,m
likʁa,m
l3f1ʒit,f
l3fatik,m
l3fatizm,m
l3fosit,m
l3fOsitoz,f
l3fom,m
l3fOpEni,f
l3fOsaʁkom,m
l3ʃ,m
l3ʃaʒ,m
l3ʃœʁ,m
l3ks,m
ljOnɛ,m
lizimak,f
lizin,f
lizOzom,m
ɛm,m
maʒ2ŋ,m
mabul,f
makadam,m
makadamja,m
makaʁø,m
makaʁ2,m
makaʁOni,m
makasaʁ,m
makaʁtizm,m
makab,m
makabe,m
masEdwan,f
masEdOnj3,m
masEdOnjɛn,f
masEʁasj2,f
maʃaʒ,m
maka2,m
maʃ,f
maʃəfɛʁ,m
maʃɛt,f
maʃœʁ,m
maʃøz,f
makjavElizm,m
maʃikuli,m
maʃ3,m
maʃinuti,f
maʃinəʁi,f
maʃinɛt,f
makino,m
makmɛtʁ,m
matʃo,m
maʃwaʁ,f
maʃɔnəm1,m
maʃujœʁ,m
masi,m
mas2,m
masɔnəʁi,f
makʁ,f
makʁøz,f
makʁObjOtik,f
makʁoklima,m
makʁOkosm,m
makʁOEkOnOmi,f
makʁOlid,m
makʁOfaʒ,m
makyla,f
makylaʒ,m
makylasj2,f
makylatyʁ,f
makyl,f
makymba,f
madapOlam,m
madɔn,f
madʁag,f
madʁ,m
madʁe,m
madʁEpɔʁ,m
madʁije,m
madʁigal,m
malstʁɔm,m
mElstʁØm,m
maEstʁija,f
maistʁo,m
mafja,f
mafjø,m
mafjOzi,m
mafjOzo,m
magazinaʒ,m
magazinjɛʁ,f
magazin,m
maʒ3ta,m
magʁEb3,m
magʁEbin,f
makzɛn,m
maʒisj3,m
maʒisjɛn,f
maʒi,f
maʒistɛʁ,m
maʒistʁat,f
maʒistʁatyʁ,f
magma,m
maɲ1,m
maɲanəʁi,f
maɲanimite,f
maɲEzi,f
maɲEzjɔm,m
maɲEtizœʁ,m
maɲEtizøz,f
maɲEtizm,m
maɲEtit,f
maɲEtOmɛtʁ,m
maɲEtOfɔn,m
maɲEtOskɔp,m
maɲEtʁ2,m
maɲifikat,m
maɲifis1s,f
maɲityd,f
maɲOlja,m
mago,m
maguj,f
magujœʁ,m
magʁɛ,m
magjaʁ,m
maaʁadʒa,m
maatma,m
maOmEt1,m
maOnja,m
maja,m
mɛd,f
mɛgʁəlɛ,m
mEgʁəlɛt,f
mEgʁœʁ,f
mEgʁiʃ2,m
mEgʁijo,m
mɛlkotʃ,m
maj,m
mɛjl,m
mEjliŋ,m
majəʃɔʁ,m
majɔʃ,f
maj2,m
majo,m
majOt3,m
m3kuʁ1t,f
m3dœvʁ,f
m3,f
mEnat,m
m3kuʁ1tje,m
m3ləve,f
m3tən1s,f
m3tənœʁ,m
mɛʁ,m
mEʁɛs,f
mEʁi,f
mais,m
mEz2mɛʁ,f
mEz2,f
mEzOne,f
mEzOnɛt,f
mɛtʁəkø,m
mɛtʁad1se,m
mɛtʁasist1,m
mɛtʁOtɛl,m
mɛtʁəʃ1tœʁ,m
mɛtʁəʃj3,m
mɛtʁəkɔk,m
mɛtʁənaʒœʁ,m
mEtʁɛs,f
mEtʁiz,f
maizEna,f
maʒa,f
maʒEste,f
maʒOlik,f
maʒɔʁʒEnEʁal,m
maʒOʁal,m
maʒOʁa,m
maʒOʁasj2,f
maʒOʁɛt,f
maʒOʁite,f
maki,m
malEme,m
malEme,f
malbEze,m
malbEze,f
malp1s1,m
mal,m
malakit,f
maladʁəʁi,f
maladʁɛs,f
maladʁwa,m
maladʁwat,f
malaga,m
malɛ,m
malEzj3,m
mal1dʁ3,m
malapʁiz,f
malav1tyʁ,f
malaksœʁ,m
malʃ1s,f
mal,m
malEdiksj2,f
malEfis,m
mal1k2tʁ,f
mal1t1d1,m
malfəz1s,f
malfEtœʁ,m
malfɔʁmasj2,f
malfʁa,m
malɛʁb,f
malœʁ,m
malØʁøz,f
malØʁø,m
malOnɛtəte,f
mali,m
malis,f
malj3,m
maljɛn,f
maliɲite,f
mal3,m
malin,f
mal3ke,m
malinwa,m
malEabilite,f
malEɔl,f
malɛt,f
malOfaʒ,m
malm,m
malmənaʒ,m
malnytʁisj2,f
malOtʁy,m
malw3,m
malpOli,m
malpʁɔpʁəte,f
malsE1s,f
malt,m
maltʁEt1s,f
malys,m
malvEj1s,f
malvEj1,m
malvɛʁsasj2,f
malvwazi,m
mam,f
mamzɛl,f
mamaliga,f
mamamuʃi,m
mam1,f
m1mba,m
m1mbo,m
maməl2,m
maməlyk,m
mamma,f
mamEktOmi,f
mamifɛʁ,m
mamOgʁafi,f
mamOplasti,f
mamut,m
#DEF#,m
mana,m
manad,f
manaʒəm1,m
manadʒœʁ,m
man1,m
m1sənije,m
m1ʃəʁ2,m
m1ʃɛt,f
m1ʃo,m
m1ʃɔt,f
m1d1,m
m1daʁinje,m
m1dakaʁt,m
m1dalɛtʁ,m
m1dapɔst,m
m1da,m
m1datəm1,m
m1dʃu,m
m1de,m
m1dəm1,m
m1dOlin,f
m1dɔʁl,f
m1dʁagɔʁ,f
m1dʁil,m
m1dʁ3,m
m1dykasj2,f
manEk1təʁi,f
manɛʒ,m
#DEF#,m
m1ganɛz,m
m1ganit,m
m1ʒdisk,m
m1ʒtu,m
m1ʒaj,f
m1ʒwaʁ,f
m1ʒe,m
m1ʒəʁi,f
m1ʒətu,m
m1ʒøz,f
m1gʁɔv,f
manjabilite,f
manjakOdEpʁEsif,m
manikEizm,m
mani,f
manjEʁizm,m
manjøz,f
manif,f
manifEst1,m
manifEstasj2,f
manifɛst,m
manifɔld,m
manij,f
manijœʁ,m
manij2,m
manjɔk,m
manip,f
manipylasj2,f
manipylatʁis,f
manipyl,m
manitOba,m
man,f
manəz3g,m
manitɔl,m
manØvʁabilite,f
manØvʁije,m
manØvʁijɛʁ,f
manwaʁ,m
manOmɛtʁ,m
manuvʁije,m
m1k,m
m1kəm1,m
m1saʁ,m
m1sj2,f
m1sɥEtyd,f
m1ta,f
m1t,f
m1təlɛ,m
m1təlyʁ,f
m1tij,f
m1tik,f
manybʁijɔm,m
manɥɛl,f
manyfaktyʁ,f
manyfaktyʁje,m
manyskʁi,m
manyt1sj2,f
maOizm,m
maOʁi,m
maOʁi,f
mapəm2d,f
makəʁOtaʒ,m
makəʁOt3,m
makəʁElaʒ,m
makəʁɛl,f
makiɲ2,m
makiɲOnaʒ,m
makijaʒ,m
makijœʁ,m
makijøz,f
makizaʁd,f
maʁa,m
maʁabu,m
maʁakas,f
maʁe,m
maʁEʃe,m
maʁEʃɛʁ,f
maʁɛ,m
maʁ1ta,m
maʁ1t,f
maʁasm,m
maʁatOnj3,m
maʁatOnjɛn,f
maʁatʁ,f
maʁOdœʁ,m
maʁOdøz,f
maʁavEdis,m
maʁbʁəʁi,f
maʁ,m
maʁkas3,m
maʁsɛl,m
maʁsəlin,f
maʁʃ1,m
maʁʃ1daʒ,m
maʁʃ1d,f
maʁʃ1døz,f
maʁʃ1dizœʁ,m
maʁʃe,m
maʁʃəpje,m
maʁʃœʁ,m
maʁkOt3,m
maʁkɔt,f
maʁEkaʒ,m
maʁEʃalfEʁ1,m
maʁEʃal,m
maʁEʃala,m
maʁEʃal,f
maʁEʃaləʁi,f
maʁEʃOse,f
maʁe,f
maʁɛl,f
maʁ3go,m
maʁEjœʁ,m
maʁEjøz,f
maʁgo,m
maʁgɛ,m
maʁʒ,f
maʁʒøz,f
maʁʒinal,m
maʁʒinal,f
maʁʒinalite,f
maʁʒi,m
maʁgOt3,m
maʁgOt2,f
maʁguji,m
maʁgul3,m
maʁgʁavja,m
maʁgəʁit,f
maʁi,m
maʁjaʒ,m
maʁjan,f
maʁiʒan,f
maʁilwiz,f
maʁisalɔp,f
maʁje,m
maʁjøz,f
maʁiʁwana,f
maʁimba,m
maʁ3pEʃœʁ,m
maʁina,f
maʁinad,f
maʁinaʒ,m
maʁ3gw3,m
maʁinje,m
maʁjOnɛt,f
maʁitɔʁn,f
maʁivodaʒ,m
maʁʒOlɛn,f
maʁk,m
maʁkœʁ,m
maʁkEtiŋ,m
maʁl3,m
maʁlu,m
maʁlup3,m
maʁlupinəʁi,f
maʁmaj,f
maʁmitaʒ,m
maʁmite,f
maʁmo,m
maʁmOtaʒ,m
maʁmɔt,f
maʁmɔtəm1,m
maʁmusɛ,m
maʁn,f
maʁnjɛʁ,f
maʁOk3,m
maʁOkɛn,f
maʁOkinəʁi,f
maʁOkinje,m
maʁwɛt,f
maʁufl,f
maʁkaʒ,m
maʁkəpaʒ,m
maʁk,f
maʁki,m
maʁkiza,m
maʁkiz,f
maʁad,f
maʁan,m
maʁ1,m
maʁ2,m
maʁOnje,m
maʁs,m
maʁsol,m
maʁsEjɛ,m
maʁsEjɛz,f
maʁsw3,m
maʁsypjal,m
maʁsypilami,m
maʁtag2,m
maʁtOpil2,m
maʁtOpikøʁ,m
maʁto,m
maʁtɛl,m
maʁtəlaʒ,m
maʁtəlɛ,m
maʁtəlœʁ,m
maʁsjalite,f
maʁsj3,m
maʁsjɛn,f
maʁt3pEʃœʁ,m
maʁt3,m
maʁtini,m
maʁtinikɛz,f
maʁtʁ,f
maʁtiʁ,m
maʁtiʁOlɔʒ,m
maʁksizmlEninizm,m
maʁil1d,m
ma,m
maskaʁa,m
maskaʁad,f
maskaʁɛ,m
maskaʁ2,m
maskaʁpɔn,m
maskylinite,f
mazɛʁ,m
maskin2ʒe,m
mazOʃizm,m
maskaʒ,m
maskEspj2,m
mask,m
#DEF#,m
masakʁœʁ,m
masaʒ,m
mas,f
mase,m
masɛt,f
masikOtje,m
masif,m
masivite,f
masy,f
mastaba,m
mastaʁ,m
mastEktOmi,f
mastœʁ,m
mastɛʁ,m
mastik,m
mastikaʒ,m
mastif,m
mastit,f
mastOd2t,m
mastʁOkɛ,m
mazyʁ,f
mat,m
mataf,m
matʃ,m
matʃiʃ,f
mate,m
matəla,m
matəlasjɛʁ,f
matəlɔt,f
matɛʁdOlOʁOza,f
matEʁjalizasj2,f
matEʁjalizm,m
matEʁjalite,f
matEʁjo,m
matEʁjɛl,m
matɛʁnaʒ,m
matɛʁnalizm,m
matɛʁnɛl,f
matɛʁnite,f
matøz,f
matEmatisj3,m
matEmatisjɛn,f
matEmatik,f
#DEF#,f
matyʁ3,m
matyzalɛm,m
matjɛʁ,f
mat3,m
matin,f
matite,f
matwa,m
matwazəʁi,f
mat2,m
matu,m
matʁakaʒ,m
matʁak,f
matʁakœʁ,m
matʁa,m
matʁijaʁka,m
matʁijaʁʃ,f
matʁiOʃka,f
matʁɔn,f
mat,f
matyʁasj2,f
matyʁ,f
matyʁite,f
modi,m
mOʁɛsk,f
mOʁasj3,m
mOʁasizm,m
mOzɛʁ,m
mOzOle,m
mOsadəʁi,f
mOvɛ,m
mOvEzəte,f
mOvjɛt,f
maksi,m
maksimalizm,m
maksim,f
maksimizasj2,f
maksit2,m
majOnɛz,f
mazagʁ1,m
mazɛ,m
mazɛt,f
mazut,m
mazyʁka,f
mEakylpa,m
mE1dʁ,m
mE1dʁin,f
mEa,m
mEkanisj3,m
mEkanisjɛn,f
mEkanik,f
mEkanizasj2,f
mEkanizm,m
mEkano,m
mEsEna,m
mEsɛn,m
mEʃ1səte,f
mEʃ1,m
mɛʃ,f
mEʃwi,m
mEʃta,f
mEkl1buʁʒwa,m
mEk2t,m
mEk2dɥit,f
mEkOnjɔm,m
mEkOnEs1s,f
mEkOny,m
mEk2t1,m
mEk2t1t,f
mEk2t1təm1,m
mEkʁE1s,f
mEkʁE1,m
mEkt2,m
mEdaj,f
mEdaje,m
mEdajœʁ,m
mEdaj2,m
mEdəs3ʃɛf,m
mEdəs3k2sɛj,m
mEdəs3gEnEʁal,m
mEdəs3maʒɔʁ,m
mEdəs3,m
mEdəsinbol,m
mEdəsin,f
mEdja,f
mEdja,m
mEdjan,f
mEdjanɔʃ,m
mEdjaskɔp,m
mEdjast3,m
mEdjatœʁ,m
mEdjasj2,f
mEdjatizasj2,f
mEdjatɔʁ,m
mEdjatʁis,f
mEdikalizasj2,f
mEdikam1,m
mEdikam1tasj2,f
mEdikastʁ,m
mEdikasj2,f
mEdisinbol,m
mEdina,f
mEdjOkʁite,f
mEdiz1s,f
mEdiz1,m
mEdiz1t,f
mEdit1,m
mEditatif,m
mEditasj2,f
mEditEʁanE3,m
mEditEʁanEɛn,f
mEdjɔm,m
mEdjɔmnite,f
mEdjys,m
mEdɔk,m
mEdyla,f
