Form,Predicted Gender,True Gender,Class Probabilities,Set,Run
aʁaʃe,m,m,"[('e', {'f': 0.505955696105957, 'm': 0.49404430389404297}), ('ʃ', {'f': 0.28368303179740906, 'm': 0.7163169980049133}), ('a', {'f': 0.560879111289978, 'm': 0.439120888710022}), ('ʁ', {'f': 0.08129885047674179, 'm': 0.918701171875}), ('a', {'f': 0.47883182764053345, 'm': 0.5211682319641113})]",test,6
ʁagl1,m,m,"[('1', {'f': 0.14685845375061035, 'm': 0.8531415462493896}), ('l', {'f': 0.040252089500427246, 'm': 0.9597479701042175}), ('g', {'f': 0.002256978303194046, 'm': 0.9977430105209351}), ('a', {'f': 0.00106889009475708, 'm': 0.9989311099052429}), ('ʁ', {'f': 4.072827869094908e-05, 'm': 0.9999592304229736})]",test,6
lizœʁ,m,m,"[('ʁ', {'f': 0.19067659974098206, 'm': 0.8093234300613403}), ('œ', {'f': 0.23993879556655884, 'm': 0.7600612044334412}), ('z', {'f': 0.1565646380186081, 'm': 0.8434353470802307}), ('i', {'f': 0.0728924423456192, 'm': 0.9271075129508972}), ('l', {'f': 0.20020681619644165, 'm': 0.7997932434082031})]",test,6
kl1p3,m,m,"[('3', {'f': 0.146184042096138, 'm': 0.8538159728050232}), ('p', {'f': 0.006013164296746254, 'm': 0.9939868450164795}), ('1', {'f': 0.0008668461814522743, 'm': 0.9991331696510315}), ('l', {'f': 0.006937090773135424, 'm': 0.9930629134178162}), ('k', {'f': 0.015001398511230946, 'm': 0.9849986433982849})]",test,6
splin,f,m,"[('n', {'f': 0.41146668791770935, 'm': 0.588533341884613}), ('i', {'f': 0.35500308871269226, 'm': 0.6449969410896301}), ('l', {'f': 0.965408444404602, 'm': 0.03459158167243004}), ('p', {'f': 0.8947750926017761, 'm': 0.1052248552441597}), ('s', {'f': 0.7602216601371765, 'm': 0.2397783398628235})]",test,6
ʁəpɛʁ,m,m,"[('ʁ', {'f': 0.19067659974098206, 'm': 0.8093234300613403}), ('ɛ', {'f': 0.09686318784952164, 'm': 0.9031367897987366}), ('p', {'f': 0.3296208381652832, 'm': 0.670379102230072}), ('ə', {'f': 0.785927951335907, 'm': 0.21407203376293182}), ('ʁ', {'f': 0.49800702929496765, 'm': 0.50199294090271})]",test,6
gwano,m,m,"[('o', {'f': 0.3449075520038605, 'm': 0.6550924181938171}), ('n', {'f': 0.048256948590278625, 'm': 0.9517430663108826}), ('a', {'f': 0.019790902733802795, 'm': 0.9802091121673584}), ('w', {'f': 0.005679031368345022, 'm': 0.9943209886550903}), ('g', {'f': 0.010849854908883572, 'm': 0.9891501069068909})]",test,6
mOkøz,f,f,"[('z', {'f': 0.06715545058250427, 'm': 0.9328445196151733}), ('ø', {'f': 0.5091349482536316, 'm': 0.4908650815486908}), ('k', {'f': 0.9786127805709839, 'm': 0.021387193351984024}), ('O', {'f': 0.999747097492218, 'm': 0.00025290981284342706}), ('m', {'f': 0.999930739402771, 'm': 6.928086804691702e-05})]",test,6
sysøz,f,f,"[('z', {'f': 0.06715545058250427, 'm': 0.9328445196151733}), ('ø', {'f': 0.5091349482536316, 'm': 0.4908650815486908}), ('s', {'f': 0.964043140411377, 'm': 0.03595680743455887}), ('y', {'f': 0.9996962547302246, 'm': 0.00030379253439605236}), ('s', {'f': 0.9990750551223755, 'm': 0.0009249291615560651})]",test,6
maʁod,f,f,"[('d', {'f': 0.710942268371582, 'm': 0.28905773162841797}), ('o', {'f': 0.6291062235832214, 'm': 0.37089383602142334}), ('ʁ', {'f': 0.7573904395103455, 'm': 0.24260953068733215}), ('a', {'f': 0.9205421805381775, 'm': 0.0794578492641449}), ('m', {'f': 0.9886922836303711, 'm': 0.011307706125080585})]",test,6
s1syʁ,f,f,"[('ʁ', {'f': 0.19067659974098206, 'm': 0.8093234300613403}), ('y', {'f': 0.7045655846595764, 'm': 0.2954343855381012}), ('s', {'f': 0.7321779131889343, 'm': 0.2678220868110657}), ('1', {'f': 0.9829244017601013, 'm': 0.017075663432478905}), ('s', {'f': 0.9774429798126221, 'm': 0.022557098418474197})]",test,6
ɥipil,m,m,"[('l', {'f': 0.440355122089386, 'm': 0.559644877910614}), ('i', {'f': 0.4808363914489746, 'm': 0.5191636085510254}), ('p', {'f': 0.42616966366767883, 'm': 0.5738303065299988}), ('i', {'f': 0.1869836300611496, 'm': 0.8130162954330444}), ('ɥ', {'f': 0.45264971256256104, 'm': 0.5473503470420837})]",test,6
fɔʁm1,m,m,"[('1', {'f': 0.14685845375061035, 'm': 0.8531415462493896}), ('m', {'f': 0.10902529209852219, 'm': 0.8909747004508972}), ('ʁ', {'f': 0.05524162948131561, 'm': 0.944758415222168}), ('ɔ', {'f': 0.0009365853038616478, 'm': 0.9990634322166443}), ('f', {'f': 0.0006660259095951915, 'm': 0.999333918094635})]",test,6
astɛʁ,m,m,"[('ʁ', {'f': 0.19067659974098206, 'm': 0.8093234300613403}), ('ɛ', {'f': 0.09686318784952164, 'm': 0.9031367897987366}), ('t', {'f': 0.027665192261338234, 'm': 0.9723348617553711}), ('s', {'f': 0.17834019660949707, 'm': 0.8216598629951477}), ('a', {'f': 0.22190870344638824, 'm': 0.778091311454773})]",test,6
k3kaj,f,f,"[('j', {'f': 0.06281056255102158, 'm': 0.9371894001960754}), ('a', {'f': 0.24292589724063873, 'm': 0.7570740580558777}), ('k', {'f': 0.8466094732284546, 'm': 0.1533905267715454}), ('3', {'f': 0.9817907810211182, 'm': 0.01820921152830124}), ('k', {'f': 0.9459545612335205, 'm': 0.054045405238866806})]",test,6
gʁ2d3,m,m,"[('3', {'f': 0.146184042096138, 'm': 0.8538159728050232}), ('d', {'f': 0.006623883731663227, 'm': 0.9933760762214661}), ('2', {'f': 0.00025679063401184976, 'm': 0.9997431635856628}), ('ʁ', {'f': 0.0001527400891063735, 'm': 0.9998472929000854}), ('g', {'f': 0.0006120844627730548, 'm': 0.9993878602981567})]",test,6
kuʃaʒ,m,m,"[('ʒ', {'f': 0.4159289002418518, 'm': 0.5840710401535034}), ('a', {'f': 0.548134446144104, 'm': 0.451865553855896}), ('ʃ', {'f': 0.030056120827794075, 'm': 0.9699438810348511}), ('u', {'f': 0.0013491527643054724, 'm': 0.998650848865509}), ('k', {'f': 0.0019565203692764044, 'm': 0.998043417930603})]",test,6
utʁaʒ,m,m,"[('ʒ', {'f': 0.4159289002418518, 'm': 0.5840710401535034}), ('a', {'f': 0.548134446144104, 'm': 0.451865553855896}), ('ʁ', {'f': 0.13985203206539154, 'm': 0.8601478934288025}), ('t', {'f': 0.021742383018136024, 'm': 0.9782575964927673}), ('u', {'f': 0.017167558893561363, 'm': 0.9828324913978577})]",test,6
tɔʁty,m,f,"[('y', {'f': 0.44329628348350525, 'm': 0.5567036867141724}), ('t', {'f': 0.07005219161510468, 'm': 0.9299477934837341}), ('ʁ', {'f': 0.058495692908763885, 'm': 0.9415043592453003}), ('ɔ', {'f': 0.14358766376972198, 'm': 0.8564122915267944}), ('t', {'f': 0.04765733703970909, 'm': 0.9523426294326782})]",test,6
paʁp3,m,m,"[('3', {'f': 0.146184042096138, 'm': 0.8538159728050232}), ('p', {'f': 0.006013164296746254, 'm': 0.9939868450164795}), ('ʁ', {'f': 0.002999753225594759, 'm': 0.9970002770423889}), ('a', {'f': 0.005027576815336943, 'm': 0.9949724674224854}), ('p', {'f': 0.011989950202405453, 'm': 0.9880099892616272})]",test,6
finiʃ,f,m,"[('ʃ', {'f': 0.4712478816509247, 'm': 0.5287521481513977}), ('i', {'f': 0.8280250430107117, 'm': 0.17197498679161072}), ('n', {'f': 0.8405095338821411, 'm': 0.15949051082134247}), ('i', {'f': 0.5792149305343628, 'm': 0.4207850992679596}), ('f', {'f': 0.8699213266372681, 'm': 0.13007870316505432})]",test,6
fʁigo,m,m,"[('o', {'f': 0.3449075520038605, 'm': 0.6550924181938171}), ('g', {'f': 0.011207890696823597, 'm': 0.9887921214103699}), ('i', {'f': 0.012160693295300007, 'm': 0.9878393411636353}), ('ʁ', {'f': 0.0032977687660604715, 'm': 0.996702253818512}), ('f', {'f': 0.0018035252578556538, 'm': 0.998196542263031})]",test,6
gʁ3ʃø,m,m,"[('ø', {'f': 0.2724369168281555, 'm': 0.7275631427764893}), ('ʃ', {'f': 0.0020678075961768627, 'm': 0.9979321956634521}), ('3', {'f': 0.0001563564146636054, 'm': 0.9998435974121094}), ('ʁ', {'f': 3.258403739891946e-05, 'm': 0.9999674558639526}), ('g', {'f': 0.0002489760227035731, 'm': 0.9997510313987732})]",test,6
pusje,m,m,"[('e', {'f': 0.505955696105957, 'm': 0.49404430389404297}), ('j', {'f': 0.13825370371341705, 'm': 0.8617463111877441}), ('s', {'f': 0.23279061913490295, 'm': 0.7672093510627747}), ('u', {'f': 0.034360334277153015, 'm': 0.9656396508216858}), ('p', {'f': 0.012934407219290733, 'm': 0.9870656728744507})]",test,6
syspɛ,m,m,"[('ɛ', {'f': 0.21231350302696228, 'm': 0.7876865267753601}), ('p', {'f': 0.060140613466501236, 'm': 0.9398593902587891}), ('s', {'f': 0.026504993438720703, 'm': 0.9734949469566345}), ('y', {'f': 0.018179595470428467, 'm': 0.9818204045295715}), ('s', {'f': 0.012880567461252213, 'm': 0.9871194362640381})]",test,6
1tite,f,f,"[('e', {'f': 0.505955696105957, 'm': 0.49404430389404297}), ('t', {'f': 0.3891182541847229, 'm': 0.6108817458152771}), ('i', {'f': 0.18209528923034668, 'm': 0.8179047107696533}), ('t', {'f': 0.8696874976158142, 'm': 0.13031256198883057}), ('1', {'f': 0.7450768947601318, 'm': 0.2549230456352234})]",test,6
pwaz2,f,m,"[('2', {'f': 0.4114193022251129, 'm': 0.5885806679725647}), ('z', {'f': 0.009834683500230312, 'm': 0.9901652932167053}), ('a', {'f': 0.12395641952753067, 'm': 0.8760436177253723}), ('w', {'f': 0.16069023311138153, 'm': 0.8393097519874573}), ('p', {'f': 0.7741498351097107, 'm': 0.2258501797914505})]",test,6
fisɛl,m,f,"[('l', {'f': 0.440355122089386, 'm': 0.559644877910614}), ('ɛ', {'f': 0.48987632989883423, 'm': 0.5101237297058105}), ('s', {'f': 0.3786109685897827, 'm': 0.6213890314102173}), ('i', {'f': 0.24623386561870575, 'm': 0.7537661790847778}), ('f', {'f': 0.49752277135849, 'm': 0.50247722864151})]",test,6
f1tom,m,m,"[('m', {'f': 0.8057007193565369, 'm': 0.19429922103881836}), ('o', {'f': 0.7349696159362793, 'm': 0.2650304436683655}), ('t', {'f': 0.22987911105155945, 'm': 0.7701208591461182}), ('1', {'f': 0.09035500138998032, 'm': 0.9096450209617615}), ('f', {'f': 0.2339404970407486, 'm': 0.7660595774650574})]",test,6
puʁs1,m,m,"[('1', {'f': 0.14685845375061035, 'm': 0.8531415462493896}), ('s', {'f': 0.013743793591856956, 'm': 0.9862561821937561}), ('ʁ', {'f': 0.0013896628515794873, 'm': 0.998610258102417}), ('u', {'f': 0.0001230500784004107, 'm': 0.9998769760131836}), ('p', {'f': 7.66460070735775e-05, 'm': 0.9999233484268188})]",test,6
kʁaps,m,m,"[('s', {'f': 0.418749064207077, 'm': 0.5812509059906006}), ('p', {'f': 0.29332607984542847, 'm': 0.7066739201545715}), ('a', {'f': 0.48157384991645813, 'm': 0.5184261798858643}), ('ʁ', {'f': 0.15753930807113647, 'm': 0.8424606919288635}), ('k', {'f': 0.17862194776535034, 'm': 0.8213779926300049})]",test,6
aps1s,f,f,"[('s', {'f': 0.418749064207077, 'm': 0.5812509059906006}), ('1', {'f': 0.31979772448539734, 'm': 0.6802022457122803}), ('s', {'f': 0.42436182498931885, 'm': 0.5756381750106812}), ('p', {'f': 0.9325013756752014, 'm': 0.06749862432479858}), ('a', {'f': 0.9466328620910645, 'm': 0.05336714908480644})]",test,6
tylip,m,f,"[('p', {'f': 0.4637902081012726, 'm': 0.5362098217010498}), ('i', {'f': 0.65257728099823, 'm': 0.3474227488040924}), ('l', {'f': 0.6516405344009399, 'm': 0.3483593761920929}), ('y', {'f': 0.4980821907520294, 'm': 0.5019177794456482}), ('t', {'f': 0.22305229306221008, 'm': 0.7769476771354675})]",test,6
gaʁaʒ,m,m,"[('ʒ', {'f': 0.4159289002418518, 'm': 0.5840710401535034}), ('a', {'f': 0.548134446144104, 'm': 0.451865553855896}), ('ʁ', {'f': 0.13985203206539154, 'm': 0.8601478934288025}), ('a', {'f': 0.128418430685997, 'm': 0.8715815544128418}), ('g', {'f': 0.0398470014333725, 'm': 0.9601529836654663})]",test,6
kuzɛt,f,f,"[('t', {'f': 0.3851671516895294, 'm': 0.6148328185081482}), ('ɛ', {'f': 0.37402665615081787, 'm': 0.6259733438491821}), ('z', {'f': 0.2840091586112976, 'm': 0.7159908413887024}), ('u', {'f': 0.8728326559066772, 'm': 0.12716734409332275}), ('k', {'f': 0.7399774789810181, 'm': 0.2600225508213043})]",test,6
vaʃɛt,f,f,"[('t', {'f': 0.3851671516895294, 'm': 0.6148328185081482}), ('ɛ', {'f': 0.37402665615081787, 'm': 0.6259733438491821}), ('ʃ', {'f': 0.8845421075820923, 'm': 0.11545788496732712}), ('a', {'f': 0.9462939500808716, 'm': 0.0537060871720314}), ('v', {'f': 0.9442811012268066, 'm': 0.05571885406970978})]",test,6
1blɛm,m,m,"[('m', {'f': 0.8057007193565369, 'm': 0.19429922103881836}), ('ɛ', {'f': 0.13870543241500854, 'm': 0.8612945675849915}), ('l', {'f': 0.16132450103759766, 'm': 0.8386755585670471}), ('b', {'f': 0.06774812936782837, 'm': 0.9322518110275269}), ('1', {'f': 0.05567920207977295, 'm': 0.9443207383155823})]",test,6
bytan,f,m,"[('n', {'f': 0.41146668791770935, 'm': 0.588533341884613}), ('a', {'f': 0.7508980631828308, 'm': 0.2491019070148468}), ('t', {'f': 0.8552244901657104, 'm': 0.14477552473545074}), ('y', {'f': 0.7691076397895813, 'm': 0.23089231550693512}), ('b', {'f': 0.7170867919921875, 'm': 0.2829132676124573})]",test,6
fʁima,m,m,"[('a', {'f': 0.4595583379268646, 'm': 0.5404416918754578}), ('m', {'f': 0.6044448614120483, 'm': 0.3955550789833069}), ('i', {'f': 0.3435991406440735, 'm': 0.6564007997512817}), ('ʁ', {'f': 0.25420111417770386, 'm': 0.7457988858222961}), ('f', {'f': 0.44343310594558716, 'm': 0.5565669536590576})]",test,6
v3tɛn,f,f,"[('n', {'f': 0.41146668791770935, 'm': 0.588533341884613}), ('ɛ', {'f': 0.2688637971878052, 'm': 0.7311362028121948}), ('t', {'f': 0.8460310697555542, 'm': 0.1539689004421234}), ('3', {'f': 0.9293760061264038, 'm': 0.07062401622533798}), ('v', {'f': 0.9796981811523438, 'm': 0.020301781594753265})]",test,6
bulɔt,f,f,"[('t', {'f': 0.3851671516895294, 'm': 0.6148328185081482}), ('ɔ', {'f': 0.7410755157470703, 'm': 0.2589244544506073}), ('l', {'f': 0.7483447790145874, 'm': 0.2516551911830902}), ('u', {'f': 0.9310944676399231, 'm': 0.06890559196472168}), ('b', {'f': 0.9608603715896606, 'm': 0.039139628410339355})]",test,6
ʁamyʁ,f,f,"[('ʁ', {'f': 0.19067659974098206, 'm': 0.8093234300613403}), ('y', {'f': 0.7045655846595764, 'm': 0.2954343855381012}), ('m', {'f': 0.987933874130249, 'm': 0.012066107243299484}), ('a', {'f': 0.927736759185791, 'm': 0.07226323336362839}), ('ʁ', {'f': 0.6733893752098083, 'm': 0.32661062479019165})]",test,6
sigaʁ,m,m,"[('ʁ', {'f': 0.19067659974098206, 'm': 0.8093234300613403}), ('a', {'f': 0.6214126944541931, 'm': 0.3785872459411621}), ('g', {'f': 0.3061695992946625, 'm': 0.6938304305076599}), ('i', {'f': 0.05849433317780495, 'm': 0.9415056109428406}), ('s', {'f': 0.07196225970983505, 'm': 0.928037703037262})]",test,6
aʁnak,m,f,"[('k', {'f': 0.3927682042121887, 'm': 0.6072317957878113}), ('a', {'f': 0.39867961406707764, 'm': 0.6013203859329224}), ('n', {'f': 0.2849416732788086, 'm': 0.7150583267211914}), ('ʁ', {'f': 0.08773130923509598, 'm': 0.9122686982154846}), ('a', {'f': 0.29850614070892334, 'm': 0.7014938592910767})]",test,6
ɔmfam,m,m,"[('m', {'f': 0.8057007193565369, 'm': 0.19429922103881836}), ('a', {'f': 0.7896777987480164, 'm': 0.21032226085662842}), ('f', {'f': 0.8194635510444641, 'm': 0.1805364489555359}), ('m', {'f': 0.8576382994651794, 'm': 0.14236176013946533}), ('ɔ', {'f': 0.39332184195518494, 'm': 0.6066781282424927})]",test,6
jauʁt,m,m,"[('t', {'f': 0.3851671516895294, 'm': 0.6148328185081482}), ('ʁ', {'f': 0.25380897521972656, 'm': 0.7461910247802734}), ('u', {'f': 0.7744043469429016, 'm': 0.22559568285942078}), ('a', {'f': 0.9333460330963135, 'm': 0.06665398180484772}), ('j', {'f': 0.4720832109451294, 'm': 0.5279167890548706})]",test,6
kasaʒ,m,m,"[('ʒ', {'f': 0.4159289002418518, 'm': 0.5840710401535034}), ('a', {'f': 0.548134446144104, 'm': 0.451865553855896}), ('s', {'f': 0.2194356769323349, 'm': 0.7805643677711487}), ('a', {'f': 0.06877415627241135, 'm': 0.9312258362770081}), ('k', {'f': 0.008303762413561344, 'm': 0.991696298122406})]",test,6
tEks1,m,m,"[('1', {'f': 0.14685845375061035, 'm': 0.8531415462493896}), ('s', {'f': 0.013743793591856956, 'm': 0.9862561821937561}), ('k', {'f': 0.004065733402967453, 'm': 0.995934247970581}), ('E', {'f': 0.0003487953799776733, 'm': 0.9996511936187744}), ('t', {'f': 5.323383447830565e-05, 'm': 0.9999467134475708})]",test,6
vasal,m,f,"[('l', {'f': 0.440355122089386, 'm': 0.559644877910614}), ('a', {'f': 0.44517332315444946, 'm': 0.5548266172409058}), ('s', {'f': 0.5064428448677063, 'm': 0.4935571551322937}), ('a', {'f': 0.515724778175354, 'm': 0.4842752516269684}), ('v', {'f': 0.4914819300174713, 'm': 0.5085180997848511})]",test,6
ʃaʁb2,m,m,"[('2', {'f': 0.4114193022251129, 'm': 0.5885806679725647}), ('b', {'f': 0.022116728127002716, 'm': 0.9778832197189331}), ('ʁ', {'f': 0.0010810168460011482, 'm': 0.9989190101623535}), ('a', {'f': 0.00013007088273297995, 'm': 0.9998699426651001}), ('ʃ', {'f': 5.28637356183026e-05, 'm': 0.999947190284729})]",test,6
3kyʁi,m,f,"[('i', {'f': 0.4365531802177429, 'm': 0.5634467601776123}), ('ʁ', {'f': 0.21777531504631042, 'm': 0.7822246551513672}), ('y', {'f': 0.17338897287845612, 'm': 0.8266109824180603}), ('k', {'f': 0.04014035686850548, 'm': 0.9598596692085266}), ('3', {'f': 0.15613101422786713, 'm': 0.8438689708709717})]",test,6
sup1t,m,f,"[('t', {'f': 0.3851671516895294, 'm': 0.6148328185081482}), ('1', {'f': 0.6478288173675537, 'm': 0.3521711826324463}), ('p', {'f': 0.38558751344680786, 'm': 0.6144124865531921}), ('u', {'f': 0.4446999728679657, 'm': 0.5552999973297119}), ('s', {'f': 0.3629019558429718, 'm': 0.637097954750061})]",test,6
akaʒu,m,m,"[('u', {'f': 0.6070760488510132, 'm': 0.39292392134666443}), ('ʒ', {'f': 0.26551422476768494, 'm': 0.7344857454299927}), ('a', {'f': 0.6359103918075562, 'm': 0.36408960819244385}), ('k', {'f': 0.22343221306800842, 'm': 0.776567816734314}), ('a', {'f': 0.12358156591653824, 'm': 0.87641841173172})]",test,6
magna,f,m,"[('a', {'f': 0.4595583379268646, 'm': 0.5404416918754578}), ('n', {'f': 0.46775227785110474, 'm': 0.5322477221488953}), ('g', {'f': 0.19131511449813843, 'm': 0.8086848855018616}), ('a', {'f': 0.5694893002510071, 'm': 0.43051066994667053}), ('m', {'f': 0.6678109169006348, 'm': 0.33218905329704285})]",test,6
dʁOge,f,f,"[('e', {'f': 0.505955696105957, 'm': 0.49404430389404297}), ('g', {'f': 0.4623524248600006, 'm': 0.5376476049423218}), ('O', {'f': 0.11019443720579147, 'm': 0.8898055553436279}), ('ʁ', {'f': 0.2975963354110718, 'm': 0.7024036645889282}), ('d', {'f': 0.511877179145813, 'm': 0.488122820854187})]",test,6
ləvyʁ,f,f,"[('ʁ', {'f': 0.19067659974098206, 'm': 0.8093234300613403}), ('y', {'f': 0.7045655846595764, 'm': 0.2954343855381012}), ('v', {'f': 0.974920392036438, 'm': 0.025079624727368355}), ('ə', {'f': 0.9874873161315918, 'm': 0.012512710876762867}), ('l', {'f': 0.9862090945243835, 'm': 0.013790901750326157})]",test,6
m3miz,f,f,"[('z', {'f': 0.06715545058250427, 'm': 0.9328445196151733}), ('i', {'f': 0.49752727150917053, 'm': 0.5024726986885071}), ('m', {'f': 0.9629355072975159, 'm': 0.03706447035074234}), ('3', {'f': 0.9386650919914246, 'm': 0.06133486330509186}), ('m', {'f': 0.9908360242843628, 'm': 0.009163926355540752})]",test,6
p1dyl,f,m,"[('l', {'f': 0.440355122089386, 'm': 0.559644877910614}), ('y', {'f': 0.6430873870849609, 'm': 0.35691261291503906}), ('d', {'f': 0.48801949620246887, 'm': 0.5119804739952087}), ('1', {'f': 0.7739065289497375, 'm': 0.22609347105026245}), ('p', {'f': 0.6694957613945007, 'm': 0.3305042088031769})]",test,6
pəlɔt,f,f,"[('t', {'f': 0.3851671516895294, 'm': 0.6148328185081482}), ('ɔ', {'f': 0.7410755157470703, 'm': 0.2589244544506073}), ('l', {'f': 0.7483447790145874, 'm': 0.2516551911830902}), ('ə', {'f': 0.9377893209457397, 'm': 0.06221069395542145}), ('p', {'f': 0.9894073605537415, 'm': 0.010592624545097351})]",test,6
gʁap3,m,m,"[('3', {'f': 0.146184042096138, 'm': 0.8538159728050232}), ('p', {'f': 0.006013164296746254, 'm': 0.9939868450164795}), ('a', {'f': 0.004537567961961031, 'm': 0.9954624772071838}), ('ʁ', {'f': 0.003385037649422884, 'm': 0.9966149926185608}), ('g', {'f': 0.007602148689329624, 'm': 0.9923978447914124})]",test,6
ʁymœʁ,m,f,"[('ʁ', {'f': 0.19067659974098206, 'm': 0.8093234300613403}), ('œ', {'f': 0.23993879556655884, 'm': 0.7600612044334412}), ('m', {'f': 0.6803916692733765, 'm': 0.31960833072662354}), ('y', {'f': 0.5007821917533875, 'm': 0.49921777844429016}), ('ʁ', {'f': 0.07801751047372818, 'm': 0.9219825267791748})]",test,6
t1gaʒ,m,m,"[('ʒ', {'f': 0.4159289002418518, 'm': 0.5840710401535034}), ('a', {'f': 0.548134446144104, 'm': 0.451865553855896}), ('g', {'f': 0.1894279569387436, 'm': 0.8105720281600952}), ('1', {'f': 0.01797843724489212, 'm': 0.9820215702056885}), ('t', {'f': 0.03952372074127197, 'm': 0.9604763388633728})]",test,6
ʁydɛs,f,f,"[('s', {'f': 0.418749064207077, 'm': 0.5812509059906006}), ('ɛ', {'f': 0.8255811333656311, 'm': 0.1744188517332077}), ('d', {'f': 0.8866433501243591, 'm': 0.11335664987564087}), ('y', {'f': 0.8900988101959229, 'm': 0.10990118235349655}), ('ʁ', {'f': 0.9248178005218506, 'm': 0.075182244181633})]",test,6
maʁin,f,f,"[('n', {'f': 0.41146668791770935, 'm': 0.588533341884613}), ('i', {'f': 0.35500308871269226, 'm': 0.6449969410896301}), ('ʁ', {'f': 0.8718766570091248, 'm': 0.12812328338623047}), ('a', {'f': 0.9549180269241333, 'm': 0.045081976801157}), ('m', {'f': 0.9556792974472046, 'm': 0.04432068020105362})]",test,6
uvʁaʒ,m,m,"[('ʒ', {'f': 0.4159289002418518, 'm': 0.5840710401535034}), ('a', {'f': 0.548134446144104, 'm': 0.451865553855896}), ('ʁ', {'f': 0.13985203206539154, 'm': 0.8601478934288025}), ('v', {'f': 0.08573924750089645, 'm': 0.9142606854438782}), ('u', {'f': 0.00317600229755044, 'm': 0.9968240261077881})]",test,6
mitʁ2,m,m,"[('2', {'f': 0.4114193022251129, 'm': 0.5885806679725647}), ('ʁ', {'f': 0.01967206783592701, 'm': 0.9803279042243958}), ('t', {'f': 0.00048160497681237757, 'm': 0.9995183944702148}), ('i', {'f': 0.0035046457778662443, 'm': 0.9964954257011414}), ('m', {'f': 0.007956837303936481, 'm': 0.9920431971549988})]",test,6
ʒwajo,m,m,"[('o', {'f': 0.3449075520038605, 'm': 0.6550924181938171}), ('j', {'f': 0.0027286652475595474, 'm': 0.9972713589668274}), ('a', {'f': 0.0005623308243229985, 'm': 0.9994376301765442}), ('w', {'f': 0.0007640167605131865, 'm': 0.999235987663269}), ('ʒ', {'f': 0.0009789795149117708, 'm': 0.999021053314209})]",test,6
myskl,m,m,"[('l', {'f': 0.440355122089386, 'm': 0.559644877910614}), ('k', {'f': 0.2083362489938736, 'm': 0.7916637063026428}), ('s', {'f': 0.08088527619838715, 'm': 0.9191147685050964}), ('y', {'f': 0.270581990480423, 'm': 0.7294180393218994}), ('m', {'f': 0.17143826186656952, 'm': 0.8285617828369141})]",test,6
ʒikle,m,f,"[('e', {'f': 0.505955696105957, 'm': 0.49404430389404297}), ('l', {'f': 0.20702476799488068, 'm': 0.7929753065109253}), ('k', {'f': 0.4029461443424225, 'm': 0.5970538854598999}), ('i', {'f': 0.22180615365505219, 'm': 0.7781938314437866}), ('ʒ', {'f': 0.25783786177635193, 'm': 0.7421621084213257})]",test,6
sudyʁ,f,f,"[('ʁ', {'f': 0.19067659974098206, 'm': 0.8093234300613403}), ('y', {'f': 0.7045655846595764, 'm': 0.2954343855381012}), ('d', {'f': 0.9242662191390991, 'm': 0.07573380321264267}), ('u', {'f': 0.9605856537818909, 'm': 0.03941433131694794}), ('s', {'f': 0.986520528793335, 'm': 0.0134794432669878})]",test,6
stypʁ,m,m,"[('ʁ', {'f': 0.19067659974098206, 'm': 0.8093234300613403}), ('p', {'f': 0.3744468688964844, 'm': 0.6255531907081604}), ('y', {'f': 0.43078944087028503, 'm': 0.5692105889320374}), ('t', {'f': 0.10893181711435318, 'm': 0.8910682201385498}), ('s', {'f': 0.23039738833904266, 'm': 0.7696025967597961})]",test,6
dEmɔn,f,f,"[('n', {'f': 0.41146668791770935, 'm': 0.588533341884613}), ('ɔ', {'f': 0.8217835426330566, 'm': 0.17821639776229858}), ('m', {'f': 0.9818846583366394, 'm': 0.018115337938070297}), ('E', {'f': 0.881675124168396, 'm': 0.1183248907327652}), ('d', {'f': 0.8649535775184631, 'm': 0.13504642248153687})]",test,6
kybaʒ,m,m,"[('ʒ', {'f': 0.4159289002418518, 'm': 0.5840710401535034}), ('a', {'f': 0.548134446144104, 'm': 0.451865553855896}), ('b', {'f': 0.16237227618694305, 'm': 0.8376277089118958}), ('y', {'f': 0.06564866751432419, 'm': 0.9343513250350952}), ('k', {'f': 0.010383686982095242, 'm': 0.9896162748336792})]",test,6
kuʁje,m,m,"[('e', {'f': 0.505955696105957, 'm': 0.49404430389404297}), ('j', {'f': 0.13825370371341705, 'm': 0.8617463111877441}), ('ʁ', {'f': 0.06937091797590256, 'm': 0.9306291341781616}), ('u', {'f': 0.0363764725625515, 'm': 0.9636235237121582}), ('k', {'f': 0.15681134164333344, 'm': 0.8431886434555054})]",test,6
taʁz1,m,m,"[('1', {'f': 0.14685845375061035, 'm': 0.8531415462493896}), ('z', {'f': 0.0035044692922383547, 'm': 0.9964955449104309}), ('ʁ', {'f': 0.0005539772100746632, 'm': 0.9994459748268127}), ('a', {'f': 0.0008082403801381588, 'm': 0.9991918206214905}), ('t', {'f': 0.00013159061199985445, 'm': 0.9998683929443359})]",test,6
